Date,Name,Year,Letterboxd URI
2023-08-15,Cobweb,2023,https://boxd.it/qywG
2023-08-17,Incendies,2010,https://boxd.it/Msm
2023-08-22,Talk to Me,2022,https://boxd.it/C6uQ
2023-08-23,Killer Joe,2011,https://boxd.it/2vtQ
2023-08-23,Past Lives,2023,https://boxd.it/oNB8
2023-08-25,Funny Games,2007,https://boxd.it/207a
2023-08-25,Eden Lake,2008,https://boxd.it/1Q1m
2023-08-31,BS High,2023,https://boxd.it/EvTK
2023-08-31,The Pod Generation,2023,https://boxd.it/xBjY
2023-08-31,You Are So Not Invited to My Bat Mitzvah,2023,https://boxd.it/BMeI
2023-09-01,Fast X,2023,https://boxd.it/drIu
2023-09-01,Evil Dead Rise,2023,https://boxd.it/qIvo
2023-09-01,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu
2023-09-01,Halloween Ends,2022,https://boxd.it/mO8M
2023-09-01,Hocus Pocus 2,2022,https://boxd.it/nRog
2023-09-01,Werewolf by Night,2022,https://boxd.it/xMrO
2023-09-01,Smile,2022,https://boxd.it/xjfE
2023-09-01,Amsterdam,2022,https://boxd.it/oJ58
2023-09-01,Blonde,2022,https://boxd.it/9AG0
2023-09-01,Bones and All,2022,https://boxd.it/tLd4
2023-09-01,The Invitation,2022,https://boxd.it/vkfc
2023-09-01,Prey,2022,https://boxd.it/sNBU
2023-09-01,Bullet Train,2022,https://boxd.it/qW26
2023-09-01,Thirteen Lives,2022,https://boxd.it/q7O4
2023-09-01,The Gray Man,2022,https://boxd.it/rb7q
2023-09-01,Vengeance,2022,https://boxd.it/pu7U
2023-09-01,Elvis,2022,https://boxd.it/mK4w
2023-09-01,Decision to Leave,2022,https://boxd.it/qp9e
2023-09-01,Jurassic World Dominion,2022,https://boxd.it/ikXW
2023-09-01,Crimes of the Future,2022,https://boxd.it/uTuY
2023-09-01,Men,2022,https://boxd.it/tlc0
2023-09-01,Top Gun: Maverick,2022,https://boxd.it/cjr4
2023-09-01,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc
2023-09-01,The Northman,2022,https://boxd.it/nK2s
2023-09-01,Morbius,2022,https://boxd.it/j978
2023-09-01,X,2022,https://boxd.it/sxVa
2023-09-01,The Unbearable Weight of Massive Talent,2022,https://boxd.it/o6eK
2023-09-01,The Adam Project,2022,https://boxd.it/q2Dg
2023-09-01,No Exit,2022,https://boxd.it/vqvK
2023-09-01,The Outfit,2022,https://boxd.it/u6Eq
2023-09-01,Uncharted,2022,https://boxd.it/b5Dy
2023-09-01,Death on the Nile,2022,https://boxd.it/ifpg
2023-09-01,Watcher,2022,https://boxd.it/uocO
2023-09-01,Fresh,2022,https://boxd.it/tCNi
2023-09-01,Scream,2022,https://boxd.it/o0lg
2023-09-01,Harry Potter 20th Anniversary: Return to Hogwarts,2022,https://boxd.it/xXJk
2023-09-01,The Matrix Resurrections,2021,https://boxd.it/n87k
2023-09-01,Antlers,2021,https://boxd.it/iI50
2023-09-01,No Time to Die,2021,https://boxd.it/cPX2
2023-09-01,The Black Phone,2021,https://boxd.it/sqFE
2023-09-01,The Many Saints of Newark,2021,https://boxd.it/j356
2023-09-01,The Last Duel,2021,https://boxd.it/mQbe
2023-09-01,Halloween Kills,2021,https://boxd.it/mxzG
2023-09-01,Last Night in Soho,2021,https://boxd.it/lbJC
2023-09-01,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk
2023-09-01,The Lost Daughter,2021,https://boxd.it/kgww
2023-09-01,The Power of the Dog,2021,https://boxd.it/m99E
2023-09-01,Belfast,2021,https://boxd.it/tefG
2023-09-01,The Card Counter,2021,https://boxd.it/nTH0
2023-09-01,Malignant,2021,https://boxd.it/mViE
